,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.851,0.63,10,-6.289,1,0.0725,0.0729,0.000204,0.247,0.216,115.985,audio_features,5erXSPunefKTlYNuZb3SMk,spotify:track:5erXSPunefKTlYNuZb3SMk,https://api.spotify.com/v1/tracks/5erXSPunefKTlYNuZb3SMk,https://api.spotify.com/v1/audio-analysis/5erXSPunefKTlYNuZb3SMk,235680,4
1,0.712,0.939,9,-6.803,1,0.247,0.292,1.78e-06,0.0634,0.0389,75.989,audio_features,6Cta7rJuBen8XnyqAGhPhp,spotify:track:6Cta7rJuBen8XnyqAGhPhp,https://api.spotify.com/v1/tracks/6Cta7rJuBen8XnyqAGhPhp,https://api.spotify.com/v1/audio-analysis/6Cta7rJuBen8XnyqAGhPhp,208798,4
2,0.799,0.929,0,-3.231,0,0.0668,0.253,0.000462,0.24,0.952,127.999,audio_features,1YOW5pnfikVa6BcCBIOQUU,spotify:track:1YOW5pnfikVa6BcCBIOQUU,https://api.spotify.com/v1/tracks/1YOW5pnfikVa6BcCBIOQUU,https://api.spotify.com/v1/audio-analysis/1YOW5pnfikVa6BcCBIOQUU,231562,4
3,0.837,0.513,1,-8.651,1,0.483,0.473,0.0178,0.117,0.557,159.966,audio_features,7Je6BkJF9PnQ3lefOw1RrT,spotify:track:7Je6BkJF9PnQ3lefOw1RrT,https://api.spotify.com/v1/tracks/7Je6BkJF9PnQ3lefOw1RrT,https://api.spotify.com/v1/audio-analysis/7Je6BkJF9PnQ3lefOw1RrT,161868,4
4,0.94,0.436,0,-10.112,1,0.456,0.0747,0.0,0.113,0.29,123.003,audio_features,6Y6J8CNHtOuklPhVnvmnm1,spotify:track:6Y6J8CNHtOuklPhVnvmnm1,https://api.spotify.com/v1/tracks/6Y6J8CNHtOuklPhVnvmnm1,https://api.spotify.com/v1/audio-analysis/6Y6J8CNHtOuklPhVnvmnm1,128781,4
5,0.72,0.606,11,-8.887,0,0.305,0.163,0.0,0.0583,0.528,143.898,audio_features,4o0GJW0DTPBtUisifo6Thp,spotify:track:4o0GJW0DTPBtUisifo6Thp,https://api.spotify.com/v1/tracks/4o0GJW0DTPBtUisifo6Thp,https://api.spotify.com/v1/audio-analysis/4o0GJW0DTPBtUisifo6Thp,151771,4
6,0.704,0.92,0,-5.655,0,0.157,0.488,0.0,0.095,0.385,93.982,audio_features,3MtF5uODmtvy5ZR5rqTvG4,spotify:track:3MtF5uODmtvy5ZR5rqTvG4,https://api.spotify.com/v1/tracks/3MtF5uODmtvy5ZR5rqTvG4,https://api.spotify.com/v1/audio-analysis/3MtF5uODmtvy5ZR5rqTvG4,161187,4
7,0.573,0.63,1,-8.389,1,0.105,0.189,2.31e-05,0.259,0.218,77.525,audio_features,4F7A0DXBrmUAkp32uenhZt,spotify:track:4F7A0DXBrmUAkp32uenhZt,https://api.spotify.com/v1/tracks/4F7A0DXBrmUAkp32uenhZt,https://api.spotify.com/v1/audio-analysis/4F7A0DXBrmUAkp32uenhZt,249213,4
8,0.789,0.678,10,-7.891,0,0.0763,0.0773,0.0,0.141,0.315,102.016,audio_features,40SoUFQGqvwuTZin8sAwUo,spotify:track:40SoUFQGqvwuTZin8sAwUo,https://api.spotify.com/v1/tracks/40SoUFQGqvwuTZin8sAwUo,https://api.spotify.com/v1/audio-analysis/40SoUFQGqvwuTZin8sAwUo,153458,4
9,0.657,0.721,11,-5.96,0,0.329,0.0973,0.0,0.124,0.716,95.672,audio_features,5K1jztd5hlfmlPIRyVT4jf,spotify:track:5K1jztd5hlfmlPIRyVT4jf,https://api.spotify.com/v1/tracks/5K1jztd5hlfmlPIRyVT4jf,https://api.spotify.com/v1/audio-analysis/5K1jztd5hlfmlPIRyVT4jf,217002,4
